"initial_alias","converted_alias","name","description","namespace"
"RPL31","ENSG00000071082","RPL31","ribosomal protein L31 [Source:HGNC Symbol;Acc:HGNC:10334]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CNOT11","ENSG00000158435","CNOT11","CCR4-NOT transcription complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:25217]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RNF149","ENSG00000163162","RNF149","ring finger protein 149 [Source:HGNC Symbol;Acc:HGNC:23137]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAP4K4","ENSG00000071054","MAP4K4","mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6866]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IL1RL2","ENSG00000115598","IL1RL2","interleukin 1 receptor like 2 [Source:HGNC Symbol;Acc:HGNC:5999]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IL1RL1","ENSG00000115602","IL1RL1","interleukin 1 receptor like 1 [Source:HGNC Symbol;Acc:HGNC:5998]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IL18R1","ENSG00000115604","IL18R1","interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IL18RAP","ENSG00000115607","IL18RAP","interleukin 18 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5989]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRPS9","ENSG00000135972","MRPS9","mitochondrial ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:14501]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TGFBRAP1","ENSG00000135966","TGFBRAP1","transforming growth factor beta receptor associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16836]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AI597479","None","None","None",""
"FHL2","ENSG00000115641","FHL2","four and a half LIM domains 2 [Source:HGNC Symbol;Acc:HGNC:3703]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NCK2","ENSG00000071051","NCK2","NCK adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:7665]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UXS1","ENSG00000115652","UXS1","UDP-glucuronate decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:17729]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TPP2","ENSG00000134900","TPP2","tripeptidyl peptidase 2 [Source:HGNC Symbol;Acc:HGNC:12016]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TEX30","ENSG00000151287","TEX30","testis expressed 30 [Source:HGNC Symbol;Acc:HGNC:25188]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KDELC1","None","None","None",""
"BIVM","ENSG00000134897","BIVM","basic, immunoglobulin-like variable motif containing [Source:HGNC Symbol;Acc:HGNC:16034]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ERCC5","ENSG00000134899","ERCC5","ERCC excision repair 5, endonuclease [Source:HGNC Symbol;Acc:HGNC:3437]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WDR75","ENSG00000115368","WDR75","WD repeat domain 75 [Source:HGNC Symbol;Acc:HGNC:25725]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC39A10","ENSG00000196950","SLC39A10","solute carrier family 39 member 10 [Source:HGNC Symbol;Acc:HGNC:20861]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NABP1","ENSG00000173559","NABP1","nucleic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26232]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STAT4","ENSG00000138378","STAT4","signal transducer and activator of transcription 4 [Source:HGNC Symbol;Acc:HGNC:11365]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STAT1","ENSG00000115415","STAT1","signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GLS","ENSG00000115419","GLS","glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NAB1","ENSG00000138386","NAB1","NGFI-A binding protein 1 [Source:HGNC Symbol;Acc:HGNC:7626]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NEMP2","ENSG00000189362","NEMP2","nuclear envelope integral membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:33700]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MFSD6","ENSG00000151690","MFSD6","major facilitator superfamily domain containing 6 [Source:HGNC Symbol;Acc:HGNC:24711]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"INPP1","ENSG00000151689","INPP1","inositol polyphosphate-1-phosphatase [Source:HGNC Symbol;Acc:HGNC:6071]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HIBCH","ENSG00000198130","HIBCH","3-hydroxyisobutyryl-CoA hydrolase [Source:HGNC Symbol;Acc:HGNC:4908]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"1700019D03RIK","None","None","None",""
"PMS1","ENSG00000064933","PMS1","PMS1 homolog 1, mismatch repair system component [Source:HGNC Symbol;Acc:HGNC:9121]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ORMDL1","ENSG00000128699","ORMDL1","ORMDL sphingolipid biosynthesis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16036]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OSGEPL1","ENSG00000128694","OSGEPL1","O-sialoglycoprotein endopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:23075]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ASNSD1","ENSG00000138381","ASNSD1","asparagine synthetase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24910]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STK17B","ENSG00000081320","STK17B","serine/threonine kinase 17b [Source:HGNC Symbol;Acc:HGNC:11396]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GTF3C3","ENSG00000119041","GTF3C3","general transcription factor IIIC subunit 3 [Source:HGNC Symbol;Acc:HGNC:4666]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PGAP1","ENSG00000197121","PGAP1","post-GPI attachment to proteins inositol deacylase 1 [Source:HGNC Symbol;Acc:HGNC:25712]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANKRD44","ENSG00000065413","ANKRD44","ankyrin repeat domain 44 [Source:HGNC Symbol;Acc:HGNC:25259]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SF3B1","ENSG00000115524","SF3B1","splicing factor 3b subunit 1 [Source:HGNC Symbol;Acc:HGNC:10768]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"COQ10B","ENSG00000115520","COQ10B","coenzyme Q10B [Source:HGNC Symbol;Acc:HGNC:25819]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HSPD1","ENSG00000144381","HSPD1","heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HSPE1","ENSG00000115541","HSPE1","heat shock protein family E (Hsp10) member 1 [Source:HGNC Symbol;Acc:HGNC:5269]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MOB4","ENSG00000115540","MOB4","MOB family member 4, phocein [Source:HGNC Symbol;Acc:HGNC:17261]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MARS2","ENSG00000247626","MARS2","methionyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:25133]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"1700066M21RIK","None","None","None",""
"TYW5","ENSG00000162971","TYW5","tRNA-yW synthesizing protein 5 [Source:HGNC Symbol;Acc:HGNC:26754]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAIP1","ENSG00000162972","MAIP1","matrix AAA peptidase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:26198]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KCTD18","ENSG00000155729","KCTD18","potassium channel tetramerization domain containing 18 [Source:HGNC Symbol;Acc:HGNC:26446]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SGOL2A","None","None","None",""
"BZW1","ENSG00000082153","BZW1","basic leucine zipper and W2 domains 1 [Source:HGNC Symbol;Acc:HGNC:18380]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CLK1","ENSG00000013441","CLK1","CDC like kinase 1 [Source:HGNC Symbol;Acc:HGNC:2068]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PPIL3","ENSG00000240344","PPIL3","peptidylprolyl isomerase like 3 [Source:HGNC Symbol;Acc:HGNC:9262]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NIF3L1","ENSG00000196290","NIF3L1","NGG1 interacting factor 3 like 1 [Source:HGNC Symbol;Acc:HGNC:13390]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ORC2","ENSG00000115942","ORC2","origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM126B","ENSG00000155744","HYCC2","hyccin PI4KA lipid kinase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:28593]","UNIPROT_GN"
"NDUFB3","ENSG00000119013","NDUFB3","NADH:ubiquinone oxidoreductase subunit B3 [Source:HGNC Symbol;Acc:HGNC:7698]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CFLAR","ENSG00000003402","CFLAR","CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CASP8","ENSG00000064012","CASP8","caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRAK2","ENSG00000115993","TRAK2","trafficking kinesin protein 2 [Source:HGNC Symbol;Acc:HGNC:13206]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STRADB","ENSG00000082146","STRADB","STE20 related adaptor beta [Source:HGNC Symbol;Acc:HGNC:13205]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM237","ENSG00000155755","TMEM237","transmembrane protein 237 [Source:HGNC Symbol;Acc:HGNC:14432]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALS2","ENSG00000003393","ALS2","alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SUMO1","ENSG00000116030","SUMO1","small ubiquitin like modifier 1 [Source:HGNC Symbol;Acc:HGNC:12502]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NOP58","ENSG00000055044","NOP58","NOP58 ribonucleoprotein [Source:HGNC Symbol;Acc:HGNC:29926]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM117B","ENSG00000138439","FAM117B","family with sequence similarity 117 member B [Source:HGNC Symbol;Acc:HGNC:14440]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WDR12","ENSG00000138442","WDR12","WD repeat domain 12 [Source:HGNC Symbol;Acc:HGNC:14098]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CARF","ENSG00000138380","CARF","calcium responsive transcription factor [Source:HGNC Symbol;Acc:HGNC:14435]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NBEAL1","ENSG00000144426","NBEAL1","neurobeachin like 1 [Source:HGNC Symbol;Acc:HGNC:20681]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CYP20A1","ENSG00000119004","CYP20A1","cytochrome P450 family 20 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:20576]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABI2","ENSG00000138443","ABI2","abl interactor 2 [Source:HGNC Symbol;Acc:HGNC:24011]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
